التصنيف (Category),اسم المنتج (Name),السعر (Price),متاح؟ (Available)
"حلويات قطنية 🍬","جيلي اسود غير منكهه",0.6,"نعم"
"حلويات قطنية 🍬","جيلي سريع تحضير نكهه جوز الهند 🥥🌴",0.6,"نعم"
"حلويات قطنية 🍬","جيلي سريع تحضير نكهه فراولة",0.6,"نعم"
"حلويات قطنية 🍬","جيلي سريع تحضير نكهه قهوه",0.6,"نعم"
"حلويات قطنية 🍬","جيلي سريع تحضير نكهه ليتشي",0.6,"نعم"
"حلويات قطنية 🍬","جيلي سريع تحضير نكهه مانجو",0.6,"نعم"
"حلويات قطنية 🍬","سجائر الكاندي",0.75,"نعم"
"حلويات قطنية 🍬","سجائر كاندي",0.75,"نعم"
"حلويات قطنية 🍬","علبة صوص كاندي حامض",0.5,"نعم"
"حلويات قطنية 🍬","كاندي إسباني مشكل ( كيلو )",6,"نعم"
"حلويات قطنية 🍬","كاندي إسباني مشكل ( نص كيلو )",3.5,"نعم"
"حلويات قطنية 🍬","كاندي حامض",0.75,"نعم"
"حلويات قطنية 🍬","كاندي فروت الحجم الوسط",4,"نعم"
"حلويات قطنية 🍬","كاندي فروت كرنشي الحجم الكبير",7.5,"نعم"
"حلويات قطنية 🍬","كاندي فواكه الصيني",3.5,"نعم"
"سناكات 🍿","اعواد بسكويت بيبيرو بلدارك شوكلت",1.5,"نعم"
"سناكات 🍿","اعواد بسكويت بيبيرو بلشوكلت",1.5,"نعم"
"سناكات 🍿","اوماي شبس بنكهه الجبنه",7.5,"نعم"
"سناكات 🍿","بانانا كيك",2,"نعم"
"سناكات 🍿","بسكويت",2,"نعم"
"سناكات 🍿","بسكويت Homerun Ball",2,"نعم"
"سناكات 🍿","بسكويت kancho",1.5,"نعم"
"سناكات 🍿","بسكويت اسيوي بلمكسرات ( اكتر من ١٠ قطع في بوكس )",6,"نعم"
"سناكات 🍿","بسكويت اسيوي عدد 10 في بوكس",5,"نعم"
"سناكات 🍿","بسكويت ساندويتش بكريمة الفراولة",2.5,"نعم"
"سناكات 🍿","بسكويت ساندويتش بكريمة توت ازرق",2.5,"نعم"
"سناكات 🍿","بسكويت شوكلت ميلكا المستورده",2,"نعم"
"سناكات 🍿","تشيز كيك ياباني نكهه موز الحجم الكبير",5,"نعم"
"سناكات 🍿","سناك كوري بلسمسم والعسل",2.5,"نعم"
"سناكات 🍿","شبس",2.72,"نعم"
"سناكات 🍿","شبس ""أوريون ككوبوك تشيب نكهة الشوكلت الحجم الكبير",3.25,"نعم"
"سناكات 🍿","شبس day 2day الحجم الكبير",2.71,"نعم"
"سناكات 🍿","شبس lala نكه مأكولات البحريه",1.5,"نعم"
"سناكات 🍿","شبس lala(الحجم كبير )نكهه الجبنه",2,"نعم"
"سناكات 🍿","شبس super",1.5,"نعم"
"سناكات 🍿","شبس تي رولز",0.5,"نعم"
"سناكات 🍿","شبس موبي نكهة الشوكلت",1.5,"نعم"
"سناكات 🍿","شبسlala نكهه جمبري🍤🍤🍤",1.5,"نعم"
"سناكات 🍿","كيك إسفنجي بنكهه الحليب",4,"نعم"
"سناكات 🍿","كيك ياباني نكهه الكراميل الحجم الكبير",5,"نعم"
"سناكات 🍿","كيكه نظري الحجم الكبير",5,"نعم"
"سناكات 🍿","مقرمشات الصينيه قوبا",2.5,"نعم"
"سناكات 🍿","مقرمشات يابانيه",3.5,"نعم"
"عام","11% OFF Product",11,"نعم"
"عام","15% OFF Product",15,"نعم"
"عام","17% OFF Product",17,"نعم"
"عام","20% OFF Product",20,"نعم"
"عام","21% OFF Product",21,"نعم"
"عام","22% OFF Product",22,"نعم"
"عام","23% OFF Product",23,"نعم"
"عام","24% OFF Product",24,"نعم"
"عام","25% OFF Product",25,"نعم"
"عام","29% OFF Product",29,"نعم"
"عام","30% OFF Product",30,"نعم"
"عام","33% OFF Product",33,"نعم"
"عام","38% OFF Product",38,"نعم"
"عام","4% OFF Product",4,"نعم"
"عام","40% OFF Product",40,"نعم"
"عام","44% OFF Product",44,"نعم"
"عام","7% OFF Product",7,"نعم"
"عام","8% OFF Product",8,"نعم"
"عام","Oishi Ribbed Cracklingsنكهة الملح وخل",2,"نعم"
"عام","Oishi نكهه الملح وخل",2,"نعم"
"عام","بطاطس حلزوني من T-Chips بنكهة الجبنه",1.75,"نعم"
"عام","بطاطس حلزوني من T-Chips بنكهة الكريمة الحامضة والبصل",1.75,"نعم"
"عام","رامن كوري ( علب )",1.75,"نعم"
"عام","كريب ياباني Oreo crepe roll",2.25,"نعم"
"عام","كعكة الأرز الصينيه black rice",0.75,"نعم"
"عام","كعكة الأرز الصينيه Buckwheat",0.75,"نعم"
"عام","كعكة الأرز الصينيه sweet potato",0.75,"نعم"
"عام","نودلز شين راميون من نونغشيم",10,"نعم"
"عام","يوبوكي بلجبنه",2.5,"نعم"
"مشروبات يابانية 🥤","عصير العنب مميز في اليابان الحجم الكبير",3.5,"نعم"
"مشروبات يابانية 🥤","عصير جوز الهند الآسيوي",1.5,"نعم"
"مشروبات يابانية 🥤","قهوة مكسيم الاسيويه",0.5,"نعم"
"مشروبات يابانية 🥤","مشروب آسيوي بنكهه الليمون الحجم الكبير 500مل",3,"نعم"
"مشروبات يابانية 🥤","مشروب بونبون العنب",1.5,"نعم"
"مشروبات يابانية 🥤","مشروب شاي حرير الذره الكوري 500مل",3,"نعم"
"مشروبات يابانية 🥤","مشروب ياباني بنكهة التوت الأزرق الحجم الكبير 500مل",3.75,"نعم"
"مشروبات يابانية 🥤","مشروب ياباني بنكهه الفراوله الحجم الكبير 500مل",3.75,"نعم"
"منتجات منقولة","10% OFF",1.35,"نعم"
"منتجات منقولة","11% OFF",4,"نعم"
"منتجات منقولة","17% OFF",2.5,"نعم"
"منتجات منقولة","20% OFF",1.6,"نعم"
"منتجات منقولة","21% OFF",9.5,"نعم"
"منتجات منقولة","22% OFF",7,"نعم"
"منتجات منقولة","23% OFF",2.3,"نعم"
"منتجات منقولة","24% OFF",25,"نعم"
"منتجات منقولة","29% OFF",2.5,"نعم"
"منتجات منقولة","33% OFF",6,"نعم"
"منتجات منقولة","38% OFF",5,"نعم"
"منتجات منقولة","4% OFF",2.5,"نعم"
"منتجات منقولة","40% OFF",4.5,"نعم"
"منتجات منقولة","44% OFF",5,"نعم"
"منتجات منقولة","5% OFF",1.75,"نعم"
"منتجات منقولة","7% OFF",3.5,"نعم"
"منتجات منقولة","8% OFF",11,"نعم"
"منتجات منقولة","Barbecue Snack",2.5,"نعم"
"منتجات منقولة","Blue lemon",2.5,"نعم"
"منتجات منقولة","corn bits",1,"نعم"
"منتجات منقولة","Ding Dong",1.25,"نعم"
"منتجات منقولة","Haitai Coco Palm Grape",2,"نعم"
"منتجات منقولة","ice tea apple",1,"نعم"
"منتجات منقولة","ice tea Blackcurrant",1,"نعم"
"منتجات منقولة","Oat Choco",0.15,"نعم"
"منتجات منقولة","Oishi",2,"نعم"
"منتجات منقولة","Oishi Ribbed Cracklings",2,"نعم"
"منتجات منقولة","Orion Peanut Crunch",2.25,"نعم"
"منتجات منقولة","snack seaweed",1.25,"نعم"
"منتجات منقولة","sour peach soda",1.5,"نعم"
"منتجات منقولة","spicy Chinese snacks",5,"نعم"
"منتجات منقولة","strawberry almond",5.5,"نعم"
